,,,,
.292,-.296,.318,-.081,.107
.534,.148,.085,-.031,-.177
.546,-.013,.160,.042,-.122
.362,-.080,.304,.388,-.318
.257,.124,.197,.225,-.471
-.052,.123,.389,.551,.075
.233,.286,.374,.033,-.305
.035,.609,.297,-.411,.022
.145,.458,.189,-.394,-.033
.405,-.242,.194,-.219,-.176
.177,.022,.178,-.224,-.321
-.187,.604,.251,-.155,.110
.442,-.267,.401,-.109,.083
-.052,.319,-.015,-.030,.229
-.392,.578,.182,.087,.160
.447,-.364,.279,-.176,.225
.109,.017,.469,.082,.398
.338,-.301,.315,-.222,.322
-.416,.187,.265,.408,-.021
.555,.216,-.273,.200,.307
.724,.270,-.321,.084,.017
.777,.244,-.291,-.038,-.047
.746,.254,-.340,.008,-.001
.359,.047,.242,.233,.166
.550,.110,-.103,.318,.301
,,,,
